price,location,ad_url
"$500.00
-15%",Zapote,"https://www.encuentra24.com/costa-rica-es/bienes-raices-alquiler-apartamentos/apartamento-estudio-en-yoses-sur/28158899?q=f_rent.200000-300000|f_currency.CRC&regionslug=san-jose-provincia,heredia-provincia&list=category&categoryslug=bienes-raices-alquiler-apartamentos"
"₡220,000",San Vicente,"https://www.encuentra24.com/costa-rica-es/bienes-raices-alquiler-apartamentos/hermoso-apartamento-de-2-dormitorio-en-moravia/28220887?q=f_rent.200000-300000|f_currency.CRC&regionslug=san-jose-provincia,heredia-provincia&list=category&categoryslug=bienes-raices-alquiler-apartamentos"
"₡220,000",Vázquez de Coronado,"https://www.encuentra24.com/costa-rica-es/bienes-raices-alquiler-apartamentos/alquiler-de-apartamento-en-san-antonio-de-coronado/28217249?q=f_rent.200000-300000|f_currency.CRC&regionslug=san-jose-provincia,heredia-provincia&list=category&categoryslug=bienes-raices-alquiler-apartamentos"
"₡200,000
-31%",Tirrases,"https://www.encuentra24.com/costa-rica-es/bienes-raices-alquiler-apartamentos/apartamento-en-lomas-de-ayarco-de-una-habitacion-amueblar/25349674?q=f_rent.200000-300000|f_currency.CRC&regionslug=san-jose-provincia,heredia-provincia&list=category&categoryslug=bienes-raices-alquiler-apartamentos"
"₡280,000
-3%",Carmen,"https://www.encuentra24.com/costa-rica-es/bienes-raices-alquiler-apartamentos/apartamento-en-ultimo-piso-barrio-otoya/22936685?q=f_rent.200000-300000|f_currency.CRC&regionslug=san-jose-provincia,heredia-provincia&list=category&categoryslug=bienes-raices-alquiler-apartamentos"
"₡290,000",Guadalupe,"https://www.encuentra24.com/costa-rica-es/bienes-raices-alquiler-apartamentos/alquiler-apartamento-goicoechea-guadalupe-el-carmen-finos-acabados/28041430?q=f_rent.200000-300000|f_currency.CRC&regionslug=san-jose-provincia,heredia-provincia&list=category&categoryslug=bienes-raices-alquiler-apartamentos"
"₡275,000",Granadilla,"https://www.encuentra24.com/costa-rica-es/bienes-raices-alquiler-apartamentos/apartamento-granadilla/24806105?q=f_rent.200000-300000|f_currency.CRC&regionslug=san-jose-provincia,heredia-provincia&list=category&categoryslug=bienes-raices-alquiler-apartamentos"
"₡285,000",Mercedes,"https://www.encuentra24.com/costa-rica-es/bienes-raices-alquiler-apartamentos/apartamento-para-1-persona/25618649?q=f_rent.200000-300000|f_currency.CRC&regionslug=san-jose-provincia,heredia-provincia&list=category&categoryslug=bienes-raices-alquiler-apartamentos"
"₡230,000",Ciudad Curridabat,"https://www.encuentra24.com/costa-rica-es/bienes-raices-alquiler-apartamentos/alquiler-de-apartamento-en-ciudad-curridabat/28087156?q=f_rent.200000-300000|f_currency.CRC&regionslug=san-jose-provincia,heredia-provincia&list=category&categoryslug=bienes-raices-alquiler-apartamentos"
"₡295,000
-11%",Heredia,"https://www.encuentra24.com/costa-rica-es/bienes-raices-alquiler-apartamentos/apartamento-2-hab-cerca-transp-publico-bus-tren-agua-cable-int-inc-disponible-1ro-julio/25540575?q=f_rent.200000-300000|f_currency.CRC&regionslug=san-jose-provincia,heredia-provincia&list=category&categoryslug=bienes-raices-alquiler-apartamentos"
"₡265,000
-4%",La Trinidad,"https://www.encuentra24.com/costa-rica-es/bienes-raices-alquiler-apartamentos/apto-comodo-seguro-cerca-de-todo/25386978?q=f_rent.200000-300000|f_currency.CRC&regionslug=san-jose-provincia,heredia-provincia&list=category&categoryslug=bienes-raices-alquiler-apartamentos"
$550.00,Carmen,"https://www.encuentra24.com/costa-rica-es/bienes-raices-alquiler-apartamentos/alquiler-de-apartamento-amueblado-en-el-historico-barrio-aranjuez/28177744?q=f_rent.200000-300000|f_currency.CRC&regionslug=san-jose-provincia,heredia-provincia&list=category&categoryslug=bienes-raices-alquiler-apartamentos"
